Frame,UnityTime,StopwatchTime,TrialID,Event,Code
8908,151.5551,151.046461,18,SampleOn,2
8937,152.0386,151.529917,18,SampleOff,3
8972,152.6224,152.113724,18,DistractorOn,4
9002,153.1221,152.613417,18,DistractorOff,5
9127,155.2056,154.6969,18,TargetOn,6
9133,155.3054,154.796768,18,Choice,7
9227,156.8719,156.363209,19,TrialOn,1
9291,157.939,157.430375,19,SampleOn,2
9320,158.4225,157.913847,19,SampleOff,3
9355,159.006,158.497382,19,DistractorOn,4
9384,159.4891,158.980399,19,DistractorOff,5
9509,161.5732,161.064581,19,TargetOn,6
9514,161.6564,161.147712,19,Choice,7
9608,163.2227,162.714063,20,TrialOn,1
9672,164.2895,163.780848,20,SampleOn,2
9701,164.7731,164.264465,20,SampleOff,3
9736,165.3568,164.848115,20,DistractorOn,4
9765,165.8399,165.331203,20,DistractorOff,5
9890,167.9241,167.415434,20,TargetOn,6
9896,168.0234,167.514768,20,Choice,7
9990,169.5899,169.081217,21,TrialOn,1
10054,170.657,170.148397,21,SampleOn,2
10083,171.1406,170.631945,21,SampleOff,3
10118,171.7243,171.21561,21,DistractorOn,4
10147,172.2073,171.698649,21,DistractorOff,5
10272,174.2909,173.782224,21,TargetOn,6
10277,174.374,173.865366,21,Choice,7
10372,175.9572,175.448546,22,TrialOn,1
10437,177.0418,176.533143,22,SampleOn,2
10467,177.5414,177.032696,22,SampleOff,3
10503,178.1416,177.632918,22,DistractorOn,4
10533,178.6412,178.132565,22,DistractorOff,5
10658,180.725,180.216378,22,TargetOn,6
10664,180.8249,180.316256,22,Choice,7
10758,182.3911,181.88249,23,TrialOn,1
10822,183.4588,182.950138,23,SampleOn,2
10851,183.9419,183.433277,23,SampleOff,3
10886,184.5252,184.016573,23,DistractorOn,4
10916,185.0258,184.51715,23,DistractorOff,5
11041,187.1091,186.600492,23,TargetOn,6
11047,187.209,186.700334,23,Choice,7
11142,188.7918,188.283119,24,TrialOn,1
11206,189.859,189.350347,24,SampleOn,2
11235,190.3424,189.833783,24,SampleOff,3
11270,190.9262,190.417552,24,DistractorOn,4
11300,191.4259,190.917222,24,DistractorOff,5
11425,193.5094,193.000751,24,TargetOn,6
11430,193.5929,193.084235,24,Choice,7
11525,195.1759,194.667247,25,TrialOn,1
11589,196.2429,195.734238,25,SampleOn,2
11618,196.7263,196.217666,25,SampleOff,3
11653,197.3098,196.801109,25,DistractorOn,4
11682,197.7931,197.284448,25,DistractorOff,5
11807,199.877,199.368363,25,TargetOn,6
11813,199.9769,199.468256,25,Choice,7
11907,201.5432,201.034528,26,TrialOn,1
11971,202.6104,202.10173,26,SampleOn,2
12000,203.0939,202.585293,26,SampleOff,3
12035,203.6776,203.168935,26,DistractorOn,4
12064,204.1604,203.651789,26,DistractorOff,5
12189,206.2445,205.735875,26,TargetOn,6
12194,206.3282,205.819519,26,Choice,7
12288,207.8939,207.385261,27,TrialOn,1
12352,208.9613,208.452655,27,SampleOn,2
12381,209.4445,208.935797,27,SampleOff,3
12416,210.0278,209.519149,27,DistractorOn,4
12446,210.5278,210.019104,27,DistractorOff,5
12571,212.6113,212.102637,27,TargetOn,6
12577,212.7113,212.202699,27,Choice,7
12671,214.2777,213.769046,28,TrialOn,1
12735,215.345,214.8364,28,SampleOn,2
12765,215.8456,215.336905,28,SampleOff,3
12800,216.4281,215.919479,28,DistractorOn,4
12829,216.9118,216.403113,28,DistractorOff,5
12954,218.9953,218.486594,28,TargetOn,6
12960,219.0952,218.586533,28,Choice,7
13054,220.6619,220.153204,29,TrialOn,1
13119,221.7457,221.237001,29,SampleOn,2
13148,222.2287,221.720023,29,SampleOff,3
13183,222.8124,222.303747,29,DistractorOn,4
13212,223.2958,222.787114,29,DistractorOff,5
13337,225.3797,224.871016,29,TargetOn,6
13343,225.4802,224.97158,29,Choice,7
13437,227.0457,226.537076,30,TrialOn,1
13501,228.1128,227.604123,30,SampleOn,2
13531,228.6129,228.104247,30,SampleOff,3
13566,229.1963,228.687662,30,DistractorOn,4
13595,229.6797,229.171048,30,DistractorOff,5
13720,231.7636,231.254914,30,TargetOn,6
13726,231.8634,231.354752,30,Choice,7
13820,233.4297,232.921007,31,TrialOn,1
13884,234.497,233.988313,31,SampleOn,2
13913,234.9802,234.471544,31,SampleOff,3
13949,235.5803,235.071657,31,DistractorOn,4
13978,236.0636,235.554964,31,DistractorOff,5
14103,238.1473,237.638619,31,TargetOn,6
14109,238.247,237.738329,31,Choice,7
14203,239.8139,239.305267,32,TrialOn,1
14267,240.8809,240.372263,32,SampleOn,2
14296,241.3642,240.855541,32,SampleOff,3
14332,241.9649,241.456288,32,DistractorOn,4
14362,242.4643,241.955641,32,DistractorOff,5
14487,244.548,244.039338,32,TargetOn,6
14493,244.6479,244.139241,32,Choice,7
14587,246.2145,245.705811,33,TrialOn,1
14651,247.2815,246.772847,33,SampleOn,2
14681,247.7819,247.273245,33,SampleOff,3
14716,248.3657,247.857084,33,DistractorOn,4
14745,248.8482,248.339584,33,DistractorOff,5
14870,250.9317,250.42309,33,TargetOn,6
14876,251.0319,250.523246,33,Choice,7
14970,252.5983,252.08963,34,TrialOn,1
15034,253.6657,253.157092,34,SampleOn,2
15064,254.166,253.657364,34,SampleOff,3
15099,254.7499,254.241213,34,DistractorOn,4
15128,255.2323,254.723686,34,DistractorOff,5
15253,257.3162,256.807529,34,TargetOn,6
15259,257.4164,256.90771,34,Choice,7
15353,258.9824,258.473719,35,TrialOn,1
15418,260.0665,259.55786,35,SampleOn,2
15447,260.5495,260.040808,35,SampleOff,3
15482,261.1333,260.624635,35,DistractorOn,4
15512,261.6329,261.124236,35,DistractorOff,5
15637,263.7168,263.208098,35,TargetOn,6
15642,263.8,263.291311,35,Choice,7
15736,265.3664,264.857728,36,TrialOn,1
15800,266.4339,265.925291,36,SampleOn,2
15829,266.9167,266.408098,36,SampleOff,3
15864,267.5002,266.991568,36,DistractorOn,4
15893,267.9836,267.474927,36,DistractorOff,5
16018,270.067,269.558318,36,TargetOn,6
16024,270.1671,269.658505,36,Choice,7
16118,271.7338,271.225154,37,TrialOn,1
16182,272.8013,272.292652,37,SampleOn,2
16212,273.301,272.792308,37,SampleOff,3
16247,273.8847,273.376019,37,DistractorOn,4
16276,274.3674,273.858784,37,DistractorOff,5
16401,276.4513,275.942619,37,TargetOn,6
16406,276.5348,276.026108,37,Choice,7
16500,278.1009,277.592223,38,TrialOn,1
16564,279.1681,278.659444,38,SampleOn,2
16594,279.6679,279.159252,38,SampleOff,3
16629,280.2521,279.743485,38,DistractorOn,4
16658,280.7354,280.22675,38,DistractorOff,5
16783,282.8184,282.309695,38,TargetOn,6
16789,282.9186,282.409917,38,Choice,7
16883,284.4848,283.976145,39,TrialOn,1
16948,285.5686,285.059984,39,SampleOn,2
16978,286.0685,285.559886,39,SampleOff,3
17013,286.6522,286.143518,39,DistractorOn,4
